"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.PO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.PO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.PO.FE.ZS","","","","","","","","","","","","","","","","0.800000011920929","","","","0.519999980926514","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.15079605579376","","","1.93327450752258","","","2.76836943626404","2.53999996185303","","","",
"Africa Western and Central","AFW","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.PO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.PO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.95413708686829","","","2","","","","","3.75879454612732","","2.96596074104309","","","",
"Albania","ALB","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.PO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.5608339309692","12.6453409194946","14.6553077697754","14.3125848770142","15.5377817153931","17.5009250640869","18.7589302062988","","","","","",
"Andorra","AND","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.PO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.1900005340576","29.3099994659424","27.4300003051758","31.5100002288818","","","","","","","","33.2000007629395","32.8699989318848","32.6300010681152","","","","","","40.1599998474121","","",
"Arab World","ARB","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.PO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.PO.FE.ZS","","","","","","","","","","","","","","","","4.05999994277954","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.1599998474121","","","","","","","","","","","","49.1800003051758","52.4700012207031","53.6500015258789","","56.4099998474121","57.0099983215332","","",
"Argentina","ARG","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.PO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.PO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.5699996948242","","","","","","","","","48.8911323547363","48.5699996948242","50.405101776123","51.2977600097656","","52.2599983215332","","48.3199996948242","53.7397842407227","56.6226539611816","48.0099983215332","56.8300971984863","55.4669418334961","","",
"American Samoa","ASM","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.PO.FE.ZS","","","","","","","","","","","","","","","9.25","","","","","","12.8000001907349","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.PO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.PO.FE.ZS","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.689998626709","36.0800018310547","38.5400009155273","39.5299987792969","42.8199996948242","43.8300018310547","45.1399993896484","46.5699996948242","50.0699996948242","45.7599983215332","47.4099998474121","49.3199996948242","50.060001373291","51.8499984741211","53","53.5999984741211","56.1199989318848","56.4599990844727","58.439998626709","55.6810340881348","",
"Austria","AUT","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.PO.FE.ZS","","","","","","","","","","","","1.0900000333786","","","","","","","","","","1.57000005245209","","","","","","","","","","4.82000017166138","","","","","","","","","","","","","","20.8899993896484","","20.6100006103516","19.6599998474121","22.8999996185303","23.7700004577637","23.75","24.3299999237061","25.5300006866455","26.0200004577637","27.1700000762939","28.25","29.1800003051758","29.5080871582031","30.8199996948242","31.1826763153076","32.3056716918945","34.7421760559082","36.107967376709","",
"Azerbaijan","AZE","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.PO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.2600002288818","","","","","","","","25.3500003814697","25.4799995422363","25.5100002288818","26.0300006866455","26.0900001525879","26.1200008392334","26.1299991607666","26.1200008392334","26.0400009155273","26.0799999237061","25.9799995422363","25.9200000762939","25.8400001525879","","27.3966484069824","31.6304054260254","31.2700004577637","",
"Burundi","BDI","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","SE.SEC.CUAT.PO.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
